ALGORITHM,N,TIME_MS,COMPARISONS,SWAPS,ARRAY_ACCESSES,MEMORY_ALLOCATIONS,RECURSION_DEPTH
heap,200,1,3629,1364,9219,0,8
heap,200,0,3615,1363,9190,0,8
heap,200,0,3646,1383,9272,0,8
heap,200,0,3618,1354,9187,0,8
heap,200,0,3632,1367,9228,0,8
